C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.050977983,0.065042905,7.3287806e-15,0.065042905,0.094251928,6.5720027e-15,7.0548936e-15,7.3911015e-15,0.033921594,0.2816
0.050977983,0.065042905,7.5160827e-15,0.065042905,0.094251928,7.3161807e-15,6.8761135e-15,7.4603058e-15,0.033921594,0.2816
0.050977983,0.065042905,6.3079666e-15,0.065042905,0.094251928,6.9655075e-15,7.5116358e-15,7.3712436e-15,0.033921595,0.2816
0.050977998,0.065042922,7.3459587e-15,0.065042922,0.094251955,6.9694745e-15,6.8159126e-15,6.9352951e-15,0.033921609,0.2816
0.050979426,0.065044573,6.7266971e-15,0.065044573,0.094254516,6.7494285e-15,7.2119125e-15,6.9683305e-15,0.033922994,0.2816
0.05111719,0.065203747,7.0113571e-15,0.065203747,0.094501543,7.4036146e-15,6.9029181e-15,7.1542608e-15,0.034056605,0.2816
0.062050598,0.077482057,7.944858e-15,0.077482057,0.11395835,9.0832863e-15,8.0524132e-15,8.5809888e-15,0.044828519,0.3008
0.18081746,0.16907669,1.7003251e-14,0.16907669,0.31032433,1.6440304e-14,1.6811673e-14,1.7232388e-14,0.14212228,0.6512
0.98366769,0.29523577,2.4208344e-14,0.29523577,0.98656697,2.465677e-14,2.5099877e-14,2.4358237e-14,0.34572159,0.9648
1.0988089,0.32964266,2.6009689e-14,0.32964266,1.0988089,2.6586437e-14,2.6622222e-14,2.6141655e-14,0.3845831,1
1.0989011,0.32967033,2.557503e-14,0.32967033,1.0989011,2.7085922e-14,2.638947e-14,2.5503748e-14,0.38461538,1
1.0989011,0.32967033,2.5892874e-14,0.32967033,1.0989011,2.6249991e-14,2.6410014e-14,2.5580156e-14,0.38461538,1
1.0989011,0.32967033,2.6194507e-14,0.32967033,1.0989011,2.5916824e-14,2.4203875e-14,2.6974862e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
1.0989011,0.32967033,2.6011831e-14,0.32967033,1.0989011,2.6674796e-14,2.5387968e-14,2.8851728e-14,0.38461538,1
0.30033095,0.026846463,1.058616e-14,0.026846463,0.19521742,1.0369129e-14,1.0171849e-14,1.0564407e-14,0.012284086,0.4224
0.30033095,0.026846463,1.0255132e-14,0.026846463,0.19521742,1.0995688e-14,1.017669e-14,1.1268343e-14,0.012284086,0.4224
0.30033095,0.026846463,1.0560142e-14,0.026846463,0.19521742,1.0508348e-14,1.0701851e-14,1.0106761e-14,0.012284086,0.4224
0.30033104,0.026846484,1.1767391e-14,0.026846484,0.19521752,1.0315883e-14,1.0140163e-14,1.0725952e-14,0.0122841,0.4224
0.30033994,0.026848442,1.0877844e-14,0.026848442,0.19522695,1.0746554e-14,1.1125032e-14,1.0117019e-14,0.012285429,0.4224
0.30119088,0.027036002,1.0542345e-14,0.027036002,0.19612912,1.0918798e-14,1.0530992e-14,9.7419539e-15,0.012412971,0.4224
0.34602398,0.037494063,1.3059326e-14,0.037494063,0.24309199,1.2149749e-14,1.2054644e-14,1.1573659e-14,0.020207829,0.4784
0.52187544,0.087822795,1.7913317e-14,0.087822795,0.42239635,1.6549719e-14,1.7099357e-14,1.7586042e-14,0.072344219,0.672
0.73231267,0.16368859,2.2118716e-14,0.16368859,0.63573225,2.120707e-14,2.1585194e-14,2.1001647e-14,0.17494745,0.8272
0.96345862,0.2635328,2.4520666e-14,0.2635328,0.88391671,2.3743178e-14,2.4506717e-14,2.5405098e-14,0.30833772,0.936
1.0935117,0.32769308,2.600423e-14,0.32769308,1.0919714,2.6350998e-14,2.5638999e-14,2.5657274e-14,0.38231257,1
1.0989003,0.32967008,2.5645008e-14,0.32967008,1.0989003,2.66499e-14,2.5441623e-14,2.5619045e-14,0.3846151,1
1.0989011,0.32967033,2.5771966e-14,0.32967033,1.0989011,2.6936309e-14,2.712117e-14,2.6099256e-14,0.38461538,1
1.0989011,0.32967033,2.4825988e-14,0.32967033,1.0989011,2.6189051e-14,2.5923357e-14,2.4757267e-14,0.38461538,1
1.0989011,0.32967033,2.6497297e-14,0.32967033,1.0989011,2.6222169e-14,2.6225676e-14,2.6826437e-14,0.38461538,1
0.19950194,0.034076592,1.1194998e-14,0.034076592,0.043269789,1.203672e-14,1.1172526e-14,1.240957e-14,0.0083982146,0.4672
0.19950194,0.034076592,1.202918e-14,0.034076592,0.043269789,1.2246224e-14,1.1801484e-14,1.1239272e-14,0.0083982146,0.4672
0.19950194,0.034076592,1.1704202e-14,0.034076592,0.043269789,1.2416335e-14,1.245989e-14,1.1641268e-14,0.0083982146,0.4672
0.19950196,0.034076595,1.1419723e-14,0.034076595,0.043269795,1.2504272e-14,1.1836568e-14,1.2305067e-14,0.0083982162,0.4672
0.19950352,0.034076878,1.2712353e-14,0.034076878,0.043270449,1.1908997e-14,1.1551583e-14,1.039495e-14,0.008398369,0.4672
0.1996546,0.034104266,1.0543734e-14,0.034104266,0.043333649,1.0717825e-14,1.2368968e-14,1.3002217e-14,0.0084131349,0.4672
0.21300864,0.036511928,1.2136956e-14,0.036511928,0.049230484,1.2622016e-14,1.1551398e-14,1.1527581e-14,0.0097964556,0.472
0.42647321,0.080602236,1.6685456e-14,0.080602236,0.39023908,1.7426097e-14,1.7177231e-14,1.7377018e-14,0.064766185,0.6432
0.73861145,0.20607615,2.3174098e-14,0.20607615,0.83134963,2.2517477e-14,2.4026884e-14,2.4287748e-14,0.23276656,0.888
0.98045349,0.29675458,2.5410363e-14,0.29675458,1.0375963,2.6401652e-14,2.5306825e-14,2.4668158e-14,0.34933023,0.9712
