C11,C21,C31,C12,C22,C32,C13,C23,C33,dens
0.055551113,0.053805477,4.7055089e-15,0.053805477,0.055551113,5.3023113e-15,5.0201115e-15,4.0725488e-15,0.049606617,0.2
0.055551113,0.053805477,5.0987613e-15,0.053805477,0.055551113,4.8758689e-15,4.3360089e-15,4.8565769e-15,0.049606618,0.2
0.055551122,0.053805485,4.9606329e-15,0.053805485,0.055551122,4.8482777e-15,4.9270575e-15,4.7450474e-15,0.049606625,0.2
0.055551994,0.053806288,5.0624032e-15,0.053806288,0.055551994,5.0593564e-15,5.0959801e-15,4.8144929e-15,0.049607318,0.2
0.055635925,0.053883577,5.0007259e-15,0.053883577,0.055635925,4.6740261e-15,4.7545806e-15,4.4800589e-15,0.049674087,0.2
0.061731703,0.059432951,5.4488029e-15,0.059432951,0.061731703,5.0621027e-15,5.8607277e-15,5.4553055e-15,0.054424128,0.2032
0.11192799,0.10172324,9.2286272e-15,0.10172324,0.11192799,9.1368694e-15,8.715958e-15,7.9898462e-15,0.09003927,0.3344
0.18539334,0.15087506,1.229058e-14,0.15087506,0.18539334,1.2738701e-14,1.2341419e-14,1.1895543e-14,0.13280764,0.4592
0.28340433,0.1945137,1.5820378e-14,0.1945137,0.28340433,1.6390224e-14,1.5715302e-14,1.6530009e-14,0.1748456,0.616
0.41414601,0.22689389,1.9826061e-14,0.22689389,0.41414601,1.8375011e-14,1.9332453e-14,1.9739917e-14,0.21549404,0.7088
0.57735118,0.25033634,2.1797073e-14,0.25033634,0.57735118,2.1824469e-14,2.1541041e-14,2.2000891e-14,0.25614114,0.824
0.75400592,0.27021835,2.2757661e-14,0.27021835,0.75400592,2.2687976e-14,2.3235887e-14,2.3100926e-14,0.29571911,0.8848
0.92033479,0.29306844,2.4646271e-14,0.29306844,0.92033479,2.4696796e-14,2.4321018e-14,2.6577816e-14,0.33457542,0.952
1.0403627,0.31453044,2.5155159e-14,0.31453044,1.0403627,2.486858e-14,2.5988933e-14,2.5875826e-14,0.36596234,0.9808
1.0961078,0.32879126,2.5175296e-14,0.32879126,1.0961078,2.5114357e-14,2.5191148e-14,2.5746377e-14,0.38360371,0.9968
0.20365226,0.056687401,-0.048750733,0.056687401,0.20365226,-0.048750733,-0.048750733,-0.048750733,0.059861404,0.4408
0.20365226,0.056687401,-0.048750733,0.056687401,0.20365226,-0.048750733,-0.048750733,-0.048750733,0.059861404,0.4408
0.20365226,0.056687401,-0.048750733,0.056687401,0.20365226,-0.048750733,-0.048750733,-0.048750733,0.059861404,0.4408
0.20365226,0.056687401,-0.048750733,0.056687401,0.20365226,-0.048750733,-0.048750733,-0.048750733,0.059861405,0.4408
0.20365255,0.056687467,-0.048750787,0.056687467,0.20365255,-0.048750787,-0.048750787,-0.048750787,0.059861493,0.4408
0.2036805,0.056693787,-0.048755981,0.056693787,0.2036805,-0.048755981,-0.048755981,-0.048755981,0.059869925,0.4408
0.20622369,0.057271661,-0.049232108,0.057271661,0.20622369,-0.049232108,-0.049232108,-0.049232108,0.060643214,0.4656
0.25609436,0.072103988,-0.059121023,0.072103988,0.25609436,-0.059121023,-0.059121023,-0.059121023,0.079602514,0.4968
0.36790071,0.10488432,-0.070973391,0.10488432,0.36790071,-0.070973391,-0.070973391,-0.070973391,0.12650056,0.652
0.51200551,0.14803883,-0.068132214,0.14803883,0.51200551,-0.068132214,-0.068132214,-0.068132214,0.19014602,0.7976
0.6944697,0.20571389,-0.050818839,0.20571389,0.6944697,-0.050818839,-0.050818839,-0.050818839,0.25867829,0.8912
0.89702028,0.26604685,-0.027793359,0.26604685,0.89702028,-0.027793359,-0.027793359,-0.027793359,0.321194,0.9376
1.055612,0.31514698,-0.0058332224,0.31514698,1.055612,-0.0058332224,-0.0058332224,-0.0058332224,0.36997445,0.988
1.0986974,0.32960862,-2.6757652e-07,0.32960862,1.0986974,-2.6757652e-07,-2.6757652e-07,-2.6757653e-07,0.38454365,1
1.0989011,0.32967032,2.2320497e-14,0.32967032,1.0989011,2.2043528e-14,2.308307e-14,2.2888691e-14,0.38461538,1
0.20365226,0.056687401,0.048750733,0.056687401,0.20365226,0.048750733,0.048750733,0.048750733,0.059861404,0.4408
0.20365226,0.056687401,0.048750733,0.056687401,0.20365226,0.048750733,0.048750733,0.048750733,0.059861404,0.4408
0.20365226,0.056687401,0.048750733,0.056687401,0.20365226,0.048750733,0.048750733,0.048750733,0.059861404,0.4408
0.20365226,0.056687401,0.048750733,0.056687401,0.20365226,0.048750733,0.048750733,0.048750733,0.059861405,0.4408
0.20365255,0.056687467,0.048750787,0.056687467,0.20365255,0.048750787,0.048750787,0.048750787,0.059861493,0.4408
0.2036805,0.056693787,0.048755981,0.056693787,0.2036805,0.048755981,0.048755981,0.048755981,0.059869925,0.4408
0.20622369,0.057271661,0.049232108,0.057271661,0.20622369,0.049232108,0.049232108,0.049232108,0.060643214,0.4656
0.25609436,0.072103988,0.059121023,0.072103988,0.25609436,0.059121023,0.059121023,0.059121023,0.079602514,0.4968
0.36790071,0.10488432,0.070973391,0.10488432,0.36790071,0.070973391,0.070973391,0.070973391,0.12650056,0.652
0.51200551,0.14803883,0.068132214,0.14803883,0.51200551,0.068132214,0.068132214,0.068132214,0.19014602,0.7976
0.6944697,0.20571389,0.050818839,0.20571389,0.6944697,0.050818839,0.050818839,0.050818839,0.25867829,0.8912
0.89702028,0.26604685,0.027793359,0.26604685,0.89702028,0.027793359,0.027793359,0.027793359,0.321194,0.9376
1.055612,0.31514698,0.0058332224,0.31514698,1.055612,0.0058332224,0.0058332224,0.0058332224,0.36997445,0.988
1.0986974,0.32960862,2.6757658e-07,0.32960862,1.0986974,2.6757658e-07,2.6757658e-07,2.6757658e-07,0.38454365,1
1.0989011,0.32967032,2.9777605e-14,0.32967032,1.0989011,2.751031e-14,2.9921561e-14,2.8881011e-14,0.38461538,1
0.21409341,1.0282455e-09,5.8509901e-15,1.0282453e-09,3.4275026e-09,5.9551335e-15,5.5960687e-15,5.0581894e-15,1.1996291e-09,0.2
0.21409515,1.0282458e-09,6.0563825e-15,1.0282455e-09,3.4275075e-09,5.6818192e-15,5.7087097e-15,6.4804894e-15,1.1996295e-09,0.2
0.21426302,1.0282788e-09,5.4903985e-15,1.0282796e-09,3.4276175e-09,5.488147e-15,5.2583011e-15,5.5231692e-15,1.1996679e-09,0.2
